Series;Time;Value
Bedroom Sensor;2016-08-03T19:05:10.000Z;null
Bedroom Sensor;2016-08-03T19:05:20.000Z;null
Bedroom Sensor;2016-08-03T19:05:30.000Z;null
Bedroom Sensor;2016-08-03T19:05:40.000Z;null
Bedroom Sensor;2016-08-03T19:05:50.000Z;25.125
Bedroom Sensor;2016-08-03T19:06:00.000Z;null
Bedroom Sensor;2016-08-03T19:06:10.000Z;null
Bedroom Sensor;2016-08-03T19:06:20.000Z;null
Bedroom Sensor;2016-08-03T19:06:30.000Z;null
Bedroom Sensor;2016-08-03T19:06:40.000Z;null
Bedroom Sensor;2016-08-03T19:06:50.000Z;25
Bedroom Sensor;2016-08-03T19:07:00.000Z;null
Bedroom Sensor;2016-08-03T19:07:10.000Z;null
Bedroom Sensor;2016-08-03T19:07:20.000Z;null
Bedroom Sensor;2016-08-03T19:07:30.000Z;null
Bedroom Sensor;2016-08-03T19:07:40.000Z;null
Bedroom Sensor;2016-08-03T19:07:50.000Z;null
Bedroom Sensor;2016-08-03T19:08:00.000Z;25.125
Bedroom Sensor;2016-08-03T19:08:10.000Z;null
Bedroom Sensor;2016-08-03T19:08:20.000Z;null
Bedroom Sensor;2016-08-03T19:08:30.000Z;null
Bedroom Sensor;2016-08-03T19:08:40.000Z;null
Bedroom Sensor;2016-08-03T19:08:50.000Z;null
Bedroom Sensor;2016-08-03T19:09:00.000Z;25.312
Bedroom Sensor;2016-08-03T19:09:10.000Z;null
Bedroom Sensor;2016-08-03T19:09:20.000Z;null
Bedroom Sensor;2016-08-03T19:09:30.000Z;null
Bedroom Sensor;2016-08-03T19:09:40.000Z;null
Bedroom Sensor;2016-08-03T19:09:50.000Z;null
Bedroom Sensor;2016-08-03T19:10:00.000Z;25.5
Bedroom Sensor;2016-08-03T19:10:10.000Z;null
Bedroom Sensor;2016-08-03T19:10:20.000Z;null
Bedroom Sensor;2016-08-03T19:10:30.000Z;null
Bedroom Sensor;2016-08-03T19:10:40.000Z;null
Bedroom Sensor;2016-08-03T19:10:50.000Z;null
Bedroom Sensor;2016-08-03T19:11:00.000Z;25.687
Bedroom Sensor;2016-08-03T19:11:10.000Z;null
Bedroom Sensor;2016-08-03T19:11:20.000Z;null
Bedroom Sensor;2016-08-03T19:11:30.000Z;null
Bedroom Sensor;2016-08-03T19:11:40.000Z;null
Bedroom Sensor;2016-08-03T19:11:50.000Z;null
Bedroom Sensor;2016-08-03T19:12:00.000Z;null
Bedroom Sensor;2016-08-03T19:12:10.000Z;null
Bedroom Sensor;2016-08-03T19:12:20.000Z;null
Bedroom Sensor;2016-08-03T19:12:30.000Z;null
Bedroom Sensor;2016-08-03T19:12:40.000Z;null
Bedroom Sensor;2016-08-03T19:12:50.000Z;null
Bedroom Sensor;2016-08-03T19:13:00.000Z;25.562
Bedroom Sensor;2016-08-03T19:13:10.000Z;null
Bedroom Sensor;2016-08-03T19:13:20.000Z;null
Bedroom Sensor;2016-08-03T19:13:30.000Z;null
Bedroom Sensor;2016-08-03T19:13:40.000Z;null
Bedroom Sensor;2016-08-03T19:13:50.000Z;null
Bedroom Sensor;2016-08-03T19:14:00.000Z;25.437
Bedroom Sensor;2016-08-03T19:14:10.000Z;null
Bedroom Sensor;2016-08-03T19:14:20.000Z;null
Bedroom Sensor;2016-08-03T19:14:30.000Z;null
Bedroom Sensor;2016-08-03T19:14:40.000Z;null
Bedroom Sensor;2016-08-03T19:14:50.000Z;null
Bedroom Sensor;2016-08-03T19:15:00.000Z;25.25
Bedroom Sensor;2016-08-03T19:15:10.000Z;null
Bedroom Sensor;2016-08-03T19:15:20.000Z;null
Bedroom Sensor;2016-08-03T19:15:30.000Z;null
Bedroom Sensor;2016-08-03T19:15:40.000Z;null
Bedroom Sensor;2016-08-03T19:15:50.000Z;null
Bedroom Sensor;2016-08-03T19:16:00.000Z;25.125
Bedroom Sensor;2016-08-03T19:16:10.000Z;null
Bedroom Sensor;2016-08-03T19:16:20.000Z;null
Bedroom Sensor;2016-08-03T19:16:30.000Z;null
Bedroom Sensor;2016-08-03T19:16:40.000Z;null
Bedroom Sensor;2016-08-03T19:16:50.000Z;null
Bedroom Sensor;2016-08-03T19:17:00.000Z;25
Bedroom Sensor;2016-08-03T19:17:10.000Z;null
Bedroom Sensor;2016-08-03T19:17:20.000Z;null
Bedroom Sensor;2016-08-03T19:17:30.000Z;null
Bedroom Sensor;2016-08-03T19:17:40.000Z;null
Bedroom Sensor;2016-08-03T19:17:50.000Z;null
Bedroom Sensor;2016-08-03T19:18:00.000Z;25.062
Bedroom Sensor;2016-08-03T19:18:10.000Z;null
Bedroom Sensor;2016-08-03T19:18:20.000Z;null
Bedroom Sensor;2016-08-03T19:18:30.000Z;null
Bedroom Sensor;2016-08-03T19:18:40.000Z;null
Bedroom Sensor;2016-08-03T19:18:50.000Z;null
Bedroom Sensor;2016-08-03T19:19:00.000Z;25.25
Bedroom Sensor;2016-08-03T19:19:10.000Z;null
Bedroom Sensor;2016-08-03T19:19:20.000Z;null
Bedroom Sensor;2016-08-03T19:19:30.000Z;null
Bedroom Sensor;2016-08-03T19:19:40.000Z;null
Bedroom Sensor;2016-08-03T19:19:50.000Z;null
Bedroom Sensor;2016-08-03T19:20:00.000Z;25.5
Bedroom Sensor;2016-08-03T19:20:10.000Z;null
Bedroom Sensor;2016-08-03T19:20:20.000Z;null
Bedroom Sensor;2016-08-03T19:20:30.000Z;null
Bedroom Sensor;2016-08-03T19:20:40.000Z;null
Bedroom Sensor;2016-08-03T19:20:50.000Z;null
Bedroom Sensor;2016-08-03T19:21:00.000Z;25.687
Bedroom Sensor;2016-08-03T19:21:10.000Z;null
Bedroom Sensor;2016-08-03T19:21:20.000Z;null
Bedroom Sensor;2016-08-03T19:21:30.000Z;null
Bedroom Sensor;2016-08-03T19:21:40.000Z;null
Bedroom Sensor;2016-08-03T19:21:50.000Z;null
Bedroom Sensor;2016-08-03T19:22:00.000Z;25.875
Bedroom Sensor;2016-08-03T19:22:10.000Z;null
Bedroom Sensor;2016-08-03T19:22:20.000Z;null
Bedroom Sensor;2016-08-03T19:22:30.000Z;null
Bedroom Sensor;2016-08-03T19:22:40.000Z;null
Bedroom Sensor;2016-08-03T19:22:50.000Z;null
Bedroom Sensor;2016-08-03T19:23:00.000Z;25.75
Bedroom Sensor;2016-08-03T19:23:10.000Z;null
Bedroom Sensor;2016-08-03T19:23:20.000Z;null
Bedroom Sensor;2016-08-03T19:23:30.000Z;null
Bedroom Sensor;2016-08-03T19:23:40.000Z;null
Bedroom Sensor;2016-08-03T19:23:50.000Z;null
Bedroom Sensor;2016-08-03T19:24:00.000Z;25.625
Bedroom Sensor;2016-08-03T19:24:10.000Z;null
Bedroom Sensor;2016-08-03T19:24:20.000Z;null
Bedroom Sensor;2016-08-03T19:24:30.000Z;null
Bedroom Sensor;2016-08-03T19:24:40.000Z;null
Bedroom Sensor;2016-08-03T19:24:50.000Z;null
Bedroom Sensor;2016-08-03T19:25:00.000Z;25.437
Bedroom Sensor;2016-08-03T19:25:10.000Z;null
Bedroom Sensor;2016-08-03T19:25:20.000Z;null
Bedroom Sensor;2016-08-03T19:25:30.000Z;null
Bedroom Sensor;2016-08-03T19:25:40.000Z;null
Bedroom Sensor;2016-08-03T19:25:50.000Z;null
Bedroom Sensor;2016-08-03T19:26:00.000Z;25.312
Bedroom Sensor;2016-08-03T19:26:10.000Z;null
Bedroom Sensor;2016-08-03T19:26:20.000Z;null
Bedroom Sensor;2016-08-03T19:26:30.000Z;null
Bedroom Sensor;2016-08-03T19:26:40.000Z;null
Bedroom Sensor;2016-08-03T19:26:50.000Z;null
Bedroom Sensor;2016-08-03T19:27:00.000Z;25.187
Bedroom Sensor;2016-08-03T19:27:10.000Z;null
Bedroom Sensor;2016-08-03T19:27:20.000Z;null
Bedroom Sensor;2016-08-03T19:27:30.000Z;null
Bedroom Sensor;2016-08-03T19:27:40.000Z;null
Bedroom Sensor;2016-08-03T19:27:50.000Z;null
Bedroom Sensor;2016-08-03T19:28:00.000Z;25
Bedroom Sensor;2016-08-03T19:28:10.000Z;null
Bedroom Sensor;2016-08-03T19:28:20.000Z;null
Bedroom Sensor;2016-08-03T19:28:30.000Z;null
Bedroom Sensor;2016-08-03T19:28:40.000Z;null
Bedroom Sensor;2016-08-03T19:28:50.000Z;null
Bedroom Sensor;2016-08-03T19:29:00.000Z;24.937
Bedroom Sensor;2016-08-03T19:29:10.000Z;null
Bedroom Sensor;2016-08-03T19:29:20.000Z;null
Bedroom Sensor;2016-08-03T19:29:30.000Z;null
Bedroom Sensor;2016-08-03T19:29:40.000Z;null
Bedroom Sensor;2016-08-03T19:29:50.000Z;null
Bedroom Sensor;2016-08-03T19:30:00.000Z;25.062
Bedroom Sensor;2016-08-03T19:30:10.000Z;null
Bedroom Sensor;2016-08-03T19:30:20.000Z;null
Bedroom Sensor;2016-08-03T19:30:30.000Z;null
Bedroom Sensor;2016-08-03T19:30:40.000Z;null
Bedroom Sensor;2016-08-03T19:30:50.000Z;null
Bedroom Sensor;2016-08-03T19:31:00.000Z;25.25
Bedroom Sensor;2016-08-03T19:31:10.000Z;null
Bedroom Sensor;2016-08-03T19:31:20.000Z;null
Bedroom Sensor;2016-08-03T19:31:30.000Z;null
Bedroom Sensor;2016-08-03T19:31:40.000Z;null
Bedroom Sensor;2016-08-03T19:31:50.000Z;null
Bedroom Sensor;2016-08-03T19:32:00.000Z;25.437
Bedroom Sensor;2016-08-03T19:32:10.000Z;null
Bedroom Sensor;2016-08-03T19:32:20.000Z;null
Bedroom Sensor;2016-08-03T19:32:30.000Z;null
Bedroom Sensor;2016-08-03T19:32:40.000Z;null
Bedroom Sensor;2016-08-03T19:32:50.000Z;null
Bedroom Sensor;2016-08-03T19:33:00.000Z;25.687
Bedroom Sensor;2016-08-03T19:33:10.000Z;null
Bedroom Sensor;2016-08-03T19:33:20.000Z;null
Bedroom Sensor;2016-08-03T19:33:30.000Z;null
Bedroom Sensor;2016-08-03T19:33:40.000Z;null
Bedroom Sensor;2016-08-03T19:33:50.000Z;null
Bedroom Sensor;2016-08-03T19:34:00.000Z;25.812
Bedroom Sensor;2016-08-03T19:34:10.000Z;null
Bedroom Sensor;2016-08-03T19:34:20.000Z;null
Bedroom Sensor;2016-08-03T19:34:30.000Z;null
Bedroom Sensor;2016-08-03T19:34:40.000Z;null
Bedroom Sensor;2016-08-03T19:34:50.000Z;null
Bedroom Sensor;2016-08-03T19:35:00.000Z;25.75
Bedroom Sensor;2016-08-03T19:35:10.000Z;null
Bedroom Sensor;2016-08-03T19:35:20.000Z;null
Bedroom Sensor;2016-08-03T19:35:30.000Z;null
Bedroom Sensor;2016-08-03T19:35:40.000Z;null
Bedroom Sensor;2016-08-03T19:35:50.000Z;null
Bedroom Sensor;2016-08-03T19:36:00.000Z;25.625
Bedroom Sensor;2016-08-03T19:36:10.000Z;null
Bedroom Sensor;2016-08-03T19:36:20.000Z;null
Bedroom Sensor;2016-08-03T19:36:30.000Z;null
Bedroom Sensor;2016-08-03T19:36:40.000Z;null
Bedroom Sensor;2016-08-03T19:36:50.000Z;null
Bedroom Sensor;2016-08-03T19:37:00.000Z;25.437
Bedroom Sensor;2016-08-03T19:37:10.000Z;null
Bedroom Sensor;2016-08-03T19:37:20.000Z;null
Bedroom Sensor;2016-08-03T19:37:30.000Z;null
Bedroom Sensor;2016-08-03T19:37:40.000Z;null
Bedroom Sensor;2016-08-03T19:37:50.000Z;null
Bedroom Sensor;2016-08-03T19:38:00.000Z;25.312
Bedroom Sensor;2016-08-03T19:38:10.000Z;null
Bedroom Sensor;2016-08-03T19:38:20.000Z;null
Bedroom Sensor;2016-08-03T19:38:30.000Z;null
Bedroom Sensor;2016-08-03T19:38:40.000Z;null
Bedroom Sensor;2016-08-03T19:38:50.000Z;null
Bedroom Sensor;2016-08-03T19:39:00.000Z;25.125
Bedroom Sensor;2016-08-03T19:39:10.000Z;null
Bedroom Sensor;2016-08-03T19:39:20.000Z;null
Bedroom Sensor;2016-08-03T19:39:30.000Z;null
Bedroom Sensor;2016-08-03T19:39:40.000Z;null
Bedroom Sensor;2016-08-03T19:39:50.000Z;null
Bedroom Sensor;2016-08-03T19:40:00.000Z;25
Bedroom Sensor;2016-08-03T19:40:10.000Z;null
Bedroom Sensor;2016-08-03T19:40:20.000Z;null
Bedroom Sensor;2016-08-03T19:40:30.000Z;null
Bedroom Sensor;2016-08-03T19:40:40.000Z;null
Bedroom Sensor;2016-08-03T19:40:50.000Z;null
Bedroom Sensor;2016-08-03T19:41:00.000Z;24.937
Bedroom Sensor;2016-08-03T19:41:10.000Z;null
Bedroom Sensor;2016-08-03T19:41:20.000Z;null
Bedroom Sensor;2016-08-03T19:41:30.000Z;null
Bedroom Sensor;2016-08-03T19:41:40.000Z;null
Bedroom Sensor;2016-08-03T19:41:50.000Z;null
Bedroom Sensor;2016-08-03T19:42:00.000Z;25
Bedroom Sensor;2016-08-03T19:42:10.000Z;null
Bedroom Sensor;2016-08-03T19:42:20.000Z;null
Bedroom Sensor;2016-08-03T19:42:30.000Z;null
Bedroom Sensor;2016-08-03T19:42:40.000Z;null
Bedroom Sensor;2016-08-03T19:42:50.000Z;null
Bedroom Sensor;2016-08-03T19:43:00.000Z;25.25
Bedroom Sensor;2016-08-03T19:43:10.000Z;null
Bedroom Sensor;2016-08-03T19:43:20.000Z;null
Bedroom Sensor;2016-08-03T19:43:30.000Z;null
Bedroom Sensor;2016-08-03T19:43:40.000Z;null
Bedroom Sensor;2016-08-03T19:43:50.000Z;null
Bedroom Sensor;2016-08-03T19:44:00.000Z;25.437
Bedroom Sensor;2016-08-03T19:44:10.000Z;null
Bedroom Sensor;2016-08-03T19:44:20.000Z;null
Bedroom Sensor;2016-08-03T19:44:30.000Z;null
Bedroom Sensor;2016-08-03T19:44:40.000Z;null
Bedroom Sensor;2016-08-03T19:44:50.000Z;null
Bedroom Sensor;2016-08-03T19:45:00.000Z;25.625
Bedroom Sensor;2016-08-03T19:45:10.000Z;null
Bedroom Sensor;2016-08-03T19:45:20.000Z;null
Bedroom Sensor;2016-08-03T19:45:30.000Z;null
Bedroom Sensor;2016-08-03T19:45:40.000Z;null
Bedroom Sensor;2016-08-03T19:45:50.000Z;null
Bedroom Sensor;2016-08-03T19:46:00.000Z;25.812
Bedroom Sensor;2016-08-03T19:46:10.000Z;null
Bedroom Sensor;2016-08-03T19:46:20.000Z;null
Bedroom Sensor;2016-08-03T19:46:30.000Z;null
Bedroom Sensor;2016-08-03T19:46:40.000Z;null
Bedroom Sensor;2016-08-03T19:46:50.000Z;null
Bedroom Sensor;2016-08-03T19:47:00.000Z;25.75
Bedroom Sensor;2016-08-03T19:47:10.000Z;null
Bedroom Sensor;2016-08-03T19:47:20.000Z;null
Bedroom Sensor;2016-08-03T19:47:30.000Z;null
Bedroom Sensor;2016-08-03T19:47:40.000Z;null
Bedroom Sensor;2016-08-03T19:47:50.000Z;null
Bedroom Sensor;2016-08-03T19:48:00.000Z;25.562
Bedroom Sensor;2016-08-03T19:48:10.000Z;null
Bedroom Sensor;2016-08-03T19:48:20.000Z;null
Bedroom Sensor;2016-08-03T19:48:30.000Z;null
Bedroom Sensor;2016-08-03T19:48:40.000Z;null
Bedroom Sensor;2016-08-03T19:48:50.000Z;null
Bedroom Sensor;2016-08-03T19:49:00.000Z;25.437
Bedroom Sensor;2016-08-03T19:49:10.000Z;null
Bedroom Sensor;2016-08-03T19:49:20.000Z;null
Bedroom Sensor;2016-08-03T19:49:30.000Z;null
Bedroom Sensor;2016-08-03T19:49:40.000Z;null
Bedroom Sensor;2016-08-03T19:49:50.000Z;null
Bedroom Sensor;2016-08-03T19:50:00.000Z;25.312
Bedroom Sensor;2016-08-03T19:50:10.000Z;null
Bedroom Sensor;2016-08-03T19:50:20.000Z;null
Bedroom Sensor;2016-08-03T19:50:30.000Z;null
Bedroom Sensor;2016-08-03T19:50:40.000Z;null
Bedroom Sensor;2016-08-03T19:50:50.000Z;null
Bedroom Sensor;2016-08-03T19:51:00.000Z;25.187
Bedroom Sensor;2016-08-03T19:51:10.000Z;null
Bedroom Sensor;2016-08-03T19:51:20.000Z;null
Bedroom Sensor;2016-08-03T19:51:30.000Z;null
Bedroom Sensor;2016-08-03T19:51:40.000Z;null
Bedroom Sensor;2016-08-03T19:51:50.000Z;null
Bedroom Sensor;2016-08-03T19:52:00.000Z;25.062
Bedroom Sensor;2016-08-03T19:52:10.000Z;null
Bedroom Sensor;2016-08-03T19:52:20.000Z;null
Bedroom Sensor;2016-08-03T19:52:30.000Z;null
Bedroom Sensor;2016-08-03T19:52:40.000Z;null
Bedroom Sensor;2016-08-03T19:52:50.000Z;null
Bedroom Sensor;2016-08-03T19:53:00.000Z;24.937
Bedroom Sensor;2016-08-03T19:53:10.000Z;null
Bedroom Sensor;2016-08-03T19:53:20.000Z;null
Bedroom Sensor;2016-08-03T19:53:30.000Z;null
Bedroom Sensor;2016-08-03T19:53:40.000Z;null
Bedroom Sensor;2016-08-03T19:53:50.000Z;null
Bedroom Sensor;2016-08-03T19:54:00.000Z;25.062
Bedroom Sensor;2016-08-03T19:54:10.000Z;null
Bedroom Sensor;2016-08-03T19:54:20.000Z;null
Bedroom Sensor;2016-08-03T19:54:30.000Z;null
Bedroom Sensor;2016-08-03T19:54:40.000Z;null
Bedroom Sensor;2016-08-03T19:54:50.000Z;null
Bedroom Sensor;2016-08-03T19:55:00.000Z;25.25
Bedroom Sensor;2016-08-03T19:55:10.000Z;null
Bedroom Sensor;2016-08-03T19:55:20.000Z;null
Bedroom Sensor;2016-08-03T19:55:30.000Z;null
Bedroom Sensor;2016-08-03T19:55:40.000Z;null
Bedroom Sensor;2016-08-03T19:55:50.000Z;null
Bedroom Sensor;2016-08-03T19:56:00.000Z;25.437
Bedroom Sensor;2016-08-03T19:56:10.000Z;null
Bedroom Sensor;2016-08-03T19:56:20.000Z;null
Bedroom Sensor;2016-08-03T19:56:30.000Z;null
Bedroom Sensor;2016-08-03T19:56:40.000Z;null
Bedroom Sensor;2016-08-03T19:56:50.000Z;null
Bedroom Sensor;2016-08-03T19:57:00.000Z;25.687
Bedroom Sensor;2016-08-03T19:57:10.000Z;null
Bedroom Sensor;2016-08-03T19:57:20.000Z;null
Bedroom Sensor;2016-08-03T19:57:30.000Z;null
Bedroom Sensor;2016-08-03T19:57:40.000Z;null
Bedroom Sensor;2016-08-03T19:57:50.000Z;null
Bedroom Sensor;2016-08-03T19:58:00.000Z;25.812
Bedroom Sensor;2016-08-03T19:58:10.000Z;null
Bedroom Sensor;2016-08-03T19:58:20.000Z;null
Bedroom Sensor;2016-08-03T19:58:30.000Z;null
Bedroom Sensor;2016-08-03T19:58:40.000Z;null
Bedroom Sensor;2016-08-03T19:58:50.000Z;null
Bedroom Sensor;2016-08-03T19:59:00.000Z;25.75
Bedroom Sensor;2016-08-03T19:59:10.000Z;null
Bedroom Sensor;2016-08-03T19:59:20.000Z;null
Bedroom Sensor;2016-08-03T19:59:30.000Z;null
Bedroom Sensor;2016-08-03T19:59:40.000Z;null
Bedroom Sensor;2016-08-03T19:59:50.000Z;null
Bedroom Sensor;2016-08-03T20:00:00.000Z;25.625
Bedroom Sensor;2016-08-03T20:00:10.000Z;null
Bedroom Sensor;2016-08-03T20:00:20.000Z;null
Bedroom Sensor;2016-08-03T20:00:30.000Z;null
Bedroom Sensor;2016-08-03T20:00:40.000Z;null
Bedroom Sensor;2016-08-03T20:00:50.000Z;null
Bedroom Sensor;2016-08-03T20:01:00.000Z;25.437
Bedroom Sensor;2016-08-03T20:01:10.000Z;null
Bedroom Sensor;2016-08-03T20:01:20.000Z;null
Bedroom Sensor;2016-08-03T20:01:30.000Z;null
Bedroom Sensor;2016-08-03T20:01:40.000Z;null
Bedroom Sensor;2016-08-03T20:01:50.000Z;null
Bedroom Sensor;2016-08-03T20:02:00.000Z;25.25
Bedroom Sensor;2016-08-03T20:02:10.000Z;null
Bedroom Sensor;2016-08-03T20:02:20.000Z;null
Bedroom Sensor;2016-08-03T20:02:30.000Z;null
Bedroom Sensor;2016-08-03T20:02:40.000Z;null
Bedroom Sensor;2016-08-03T20:02:50.000Z;null
Bedroom Sensor;2016-08-03T20:03:00.000Z;25.187
Bedroom Sensor;2016-08-03T20:03:10.000Z;null
Bedroom Sensor;2016-08-03T20:03:20.000Z;null
Bedroom Sensor;2016-08-03T20:03:30.000Z;null
Bedroom Sensor;2016-08-03T20:03:40.000Z;null
Bedroom Sensor;2016-08-03T20:03:50.000Z;null
Bedroom Sensor;2016-08-03T20:04:00.000Z;25
Bedroom Sensor;2016-08-03T20:04:10.000Z;null
Bedroom Sensor;2016-08-03T20:04:20.000Z;null
Bedroom Sensor;2016-08-03T20:04:30.000Z;null
Bedroom Sensor;2016-08-03T20:04:40.000Z;null
Bedroom Sensor;2016-08-03T20:04:50.000Z;null
Bedroom Sensor;2016-08-03T20:05:00.000Z;25.125
Bedroom Sensor;2016-08-03T20:05:10.000Z;null
Bedroom Sensor;2016-08-03T20:05:20.000Z;null
Bedroom Sensor;2016-08-03T20:05:30.000Z;null
Bedroom Sensor;2016-08-03T20:05:40.000Z;null
Bedroom Sensor;2016-08-03T20:05:50.000Z;null
Bedroom Sensor;2016-08-03T20:06:00.000Z;25.25
Bedroom Sensor;2016-08-03T20:06:10.000Z;null
Bedroom Sensor;2016-08-03T20:06:20.000Z;null
Bedroom Sensor;2016-08-03T20:06:30.000Z;null
Bedroom Sensor;2016-08-03T20:06:40.000Z;null
Bedroom Sensor;2016-08-03T20:06:50.000Z;null
Bedroom Sensor;2016-08-03T20:07:00.000Z;25.5
Bedroom Sensor;2016-08-03T20:07:10.000Z;null
Bedroom Sensor;2016-08-03T20:07:20.000Z;null
Bedroom Sensor;2016-08-03T20:07:30.000Z;null
Bedroom Sensor;2016-08-03T20:07:40.000Z;null
Bedroom Sensor;2016-08-03T20:07:50.000Z;null
Bedroom Sensor;2016-08-03T20:08:00.000Z;25.687
Bedroom Sensor;2016-08-03T20:08:10.000Z;null
Bedroom Sensor;2016-08-03T20:08:20.000Z;null
Bedroom Sensor;2016-08-03T20:08:30.000Z;null
Bedroom Sensor;2016-08-03T20:08:40.000Z;null
Bedroom Sensor;2016-08-03T20:08:50.000Z;null
Bedroom Sensor;2016-08-03T20:09:00.000Z;25.812
Bedroom Sensor;2016-08-03T20:09:10.000Z;null
Bedroom Sensor;2016-08-03T20:09:20.000Z;null
Bedroom Sensor;2016-08-03T20:09:30.000Z;null
Bedroom Sensor;2016-08-03T20:09:40.000Z;null
Bedroom Sensor;2016-08-03T20:09:50.000Z;null
Bedroom Sensor;2016-08-03T20:10:00.000Z;25.75
Bedroom Sensor;2016-08-03T20:10:10.000Z;null
Bedroom Sensor;2016-08-03T20:10:20.000Z;null
Bedroom Sensor;2016-08-03T20:10:30.000Z;null
Bedroom Sensor;2016-08-03T20:10:40.000Z;null
Bedroom Sensor;2016-08-03T20:10:50.000Z;null
Bedroom Sensor;2016-08-03T20:11:00.000Z;25.562
Bedroom Sensor;2016-08-03T20:11:10.000Z;null
Bedroom Sensor;2016-08-03T20:11:20.000Z;null
Bedroom Sensor;2016-08-03T20:11:30.000Z;null
Bedroom Sensor;2016-08-03T20:11:40.000Z;null
Bedroom Sensor;2016-08-03T20:11:50.000Z;null
Bedroom Sensor;2016-08-03T20:12:00.000Z;25.375
Bedroom Sensor;2016-08-03T20:12:10.000Z;null
Bedroom Sensor;2016-08-03T20:12:20.000Z;null
Bedroom Sensor;2016-08-03T20:12:30.000Z;null
Bedroom Sensor;2016-08-03T20:12:40.000Z;null
Bedroom Sensor;2016-08-03T20:12:50.000Z;null
Bedroom Sensor;2016-08-03T20:13:00.000Z;25.187
Bedroom Sensor;2016-08-03T20:13:10.000Z;null
Bedroom Sensor;2016-08-03T20:13:20.000Z;null
Bedroom Sensor;2016-08-03T20:13:30.000Z;null
Bedroom Sensor;2016-08-03T20:13:40.000Z;null
Bedroom Sensor;2016-08-03T20:13:50.000Z;null
Bedroom Sensor;2016-08-03T20:14:00.000Z;25.062
Bedroom Sensor;2016-08-03T20:14:10.000Z;null
Bedroom Sensor;2016-08-03T20:14:20.000Z;null
Bedroom Sensor;2016-08-03T20:14:30.000Z;null
Bedroom Sensor;2016-08-03T20:14:40.000Z;null
Bedroom Sensor;2016-08-03T20:14:50.000Z;null
Bedroom Sensor;2016-08-03T20:15:00.000Z;24.937
Bedroom Sensor;2016-08-03T20:15:10.000Z;null
Bedroom Sensor;2016-08-03T20:15:20.000Z;null
Bedroom Sensor;2016-08-03T20:15:30.000Z;null
Bedroom Sensor;2016-08-03T20:15:40.000Z;null
Bedroom Sensor;2016-08-03T20:15:50.000Z;null
Bedroom Sensor;2016-08-03T20:16:00.000Z;25
Bedroom Sensor;2016-08-03T20:16:10.000Z;null
Bedroom Sensor;2016-08-03T20:16:20.000Z;null
Bedroom Sensor;2016-08-03T20:16:30.000Z;null
Bedroom Sensor;2016-08-03T20:16:40.000Z;null
Bedroom Sensor;2016-08-03T20:16:50.000Z;null
Bedroom Sensor;2016-08-03T20:17:00.000Z;25.187
Bedroom Sensor;2016-08-03T20:17:10.000Z;null
Bedroom Sensor;2016-08-03T20:17:20.000Z;null
Bedroom Sensor;2016-08-03T20:17:30.000Z;null
Bedroom Sensor;2016-08-03T20:17:40.000Z;null
Bedroom Sensor;2016-08-03T20:17:50.000Z;null
Bedroom Sensor;2016-08-03T20:18:00.000Z;25.375
Bedroom Sensor;2016-08-03T20:18:10.000Z;null
Bedroom Sensor;2016-08-03T20:18:20.000Z;null
Bedroom Sensor;2016-08-03T20:18:30.000Z;null
Bedroom Sensor;2016-08-03T20:18:40.000Z;null
Bedroom Sensor;2016-08-03T20:18:50.000Z;null
Bedroom Sensor;2016-08-03T20:19:00.000Z;25.562
Bedroom Sensor;2016-08-03T20:19:10.000Z;null
Bedroom Sensor;2016-08-03T20:19:20.000Z;null
Bedroom Sensor;2016-08-03T20:19:30.000Z;null
Bedroom Sensor;2016-08-03T20:19:40.000Z;null
Bedroom Sensor;2016-08-03T20:19:50.000Z;null
Bedroom Sensor;2016-08-03T20:20:00.000Z;25.687
Bedroom Sensor;2016-08-03T20:20:10.000Z;null
Bedroom Sensor;2016-08-03T20:20:20.000Z;null
Bedroom Sensor;2016-08-03T20:20:30.000Z;null
Bedroom Sensor;2016-08-03T20:20:40.000Z;null
Bedroom Sensor;2016-08-03T20:20:50.000Z;null
Bedroom Sensor;2016-08-03T20:21:00.000Z;25.562
Bedroom Sensor;2016-08-03T20:21:10.000Z;null
Bedroom Sensor;2016-08-03T20:21:20.000Z;null
Bedroom Sensor;2016-08-03T20:21:30.000Z;null
Bedroom Sensor;2016-08-03T20:21:40.000Z;null
Bedroom Sensor;2016-08-03T20:21:50.000Z;null
Bedroom Sensor;2016-08-03T20:22:00.000Z;25.375
Bedroom Sensor;2016-08-03T20:22:10.000Z;null
Bedroom Sensor;2016-08-03T20:22:20.000Z;null
Bedroom Sensor;2016-08-03T20:22:30.000Z;null
Bedroom Sensor;2016-08-03T20:22:40.000Z;null
Bedroom Sensor;2016-08-03T20:22:50.000Z;null
Bedroom Sensor;2016-08-03T20:23:00.000Z;25.187
Bedroom Sensor;2016-08-03T20:23:10.000Z;null
Bedroom Sensor;2016-08-03T20:23:20.000Z;null
Bedroom Sensor;2016-08-03T20:23:30.000Z;null
Bedroom Sensor;2016-08-03T20:23:40.000Z;null
Bedroom Sensor;2016-08-03T20:23:50.000Z;null
Bedroom Sensor;2016-08-03T20:24:00.000Z;25
Bedroom Sensor;2016-08-03T20:24:10.000Z;null
Bedroom Sensor;2016-08-03T20:24:20.000Z;null
Bedroom Sensor;2016-08-03T20:24:30.000Z;null
